Mouse 	Cage 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	CFU_g	Experiment 
978_4	978	7	male	yes	WT	630_VPI 	630	VPI	cleared 	1000	2014
978_4	978	10	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_4	978	16	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_4	978	22	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_4	978	31	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_4	978	40	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_5	978	1	male	yes	WT	630_VPI 	630	VPI	cleared 	100000	2014
978_5	978	4	male	yes	WT	630_VPI 	630	VPI	cleared 	400000	2014
978_5	978	7	male	yes	WT	630_VPI 	630	VPI	cleared 	1000	2014
978_5	978	10	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_5	978	16	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_5	978	22	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_5	978	31	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
978_5	978	40	male	yes	WT	630_VPI 	630	VPI	cleared 	100	2014
16_1	16	1	male	yes	RAG	630_VPI 	630	VPI	cleared 	19000000	2014
16_1	16	4	male	yes	RAG	630_VPI 	630	VPI	cleared 	51000000	2014
16_1	16	7	male	yes	RAG	630_VPI 	630	VPI	cleared 	3200000	2014
16_1	16	10	male	yes	RAG	630_VPI 	630	VPI	cleared 	10000	2014
16_1	16	16	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_1	16	22	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_1	16	31	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_1	16	40	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_2	16	1	male	yes	RAG	630_VPI 	630	VPI	cleared 	14000000	2014
16_2	16	4	male	yes	RAG	630_VPI 	630	VPI	cleared 	35000000	2014
16_2	16	7	male	yes	RAG	630_VPI 	630	VPI	cleared 	200000	2014
16_2	16	10	male	yes	RAG	630_VPI 	630	VPI	cleared 	40000	2014
16_2	16	16	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_2	16	22	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_2	16	31	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_2	16	40	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_3	16	1	male	yes	RAG	630_VPI 	630	VPI	cleared 	5800000	2014
16_3	16	4	male	yes	RAG	630_VPI 	630	VPI	cleared 	5300000	2014
16_3	16	7	male	yes	RAG	630_VPI 	630	VPI	cleared 	4500000	2014
16_3	16	10	male	yes	RAG	630_VPI 	630	VPI	cleared 	90000	2014
16_3	16	16	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_3	16	22	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_3	16	31	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_3	16	40	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_4	16	1	male	yes	RAG	630_VPI 	630	VPI	cleared 	17000000	2014
16_4	16	4	male	yes	RAG	630_VPI 	630	VPI	cleared 	16000000	2014
16_4	16	7	male	yes	RAG	630_VPI 	630	VPI	cleared 	1300000	2014
16_4	16	10	male	yes	RAG	630_VPI 	630	VPI	cleared 	220000	2014
16_4	16	16	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_4	16	22	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_4	16	31	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
16_4	16	40	male	yes	RAG	630_VPI 	630	VPI	cleared 	100	2014
18_2	18	1	female	yes	RAG	630_VPI 	630	VPI	colonized	21000000	2014
18_2	18	4	female	yes	RAG	630_VPI 	630	VPI	colonized	103000000	2014
18_2	18	7	female	yes	RAG	630_VPI 	630	VPI	colonized	10000000	2014
18_2	18	10	female	yes	RAG	630_VPI 	630	VPI	colonized	31000000	2014
18_2	18	16	female	yes	RAG	630_VPI 	630	VPI	colonized	2530000	2014
18_2	18	22	female	yes	RAG	630_VPI 	630	VPI	colonized	2100000	2014
18_2	18	31	female	yes	RAG	630_VPI 	630	VPI	colonized	41000	2014
18_2	18	40	female	yes	RAG	630_VPI 	630	VPI	colonized	220000	2014
18_3	18	1	female	yes	RAG	630_VPI 	630	VPI	colonized	38000000	2014
18_3	18	4	female	yes	RAG	630_VPI 	630	VPI	colonized	56000000	2014
18_3	18	7	female	yes	RAG	630_VPI 	630	VPI	colonized	56000000	2014
